"Tijdstempel","On a scale from 1-10, how accurate do you think your results were?","Why did you give this answer?","Was the goal of the game clear to you?","Which of the following helped explain the best?","What specifically wasn't clear to you?","Did the videos help explain anything?","What do you think might help the game more clear?","How often did you have to really think about your answers?","If you were thinking a lot, what did you often think about?","Did you have issues thinking about the ideal world, if so why?","Do you have any further suggestions? I am looking into making the results more accurate and improving your engagement as a player"
"2023/10/05 10:42:56 a.m. CET","7","The results felt like they matched my personality, but i was kind of confused as to what the different sides meant","Yes","Text","","","","4","What the options mean","The premise of the game isn't very clear",""
"2023/10/05 10:44:08 a.m. CET","7","It was pretty accurate and it suited me","No","","I didn't quite understand the main goal of this game","Yes","I would like more information about the game concept, and the goal of the game","6","The ideal world;What the options mean","Yes kind of, I had to think about what my ideal world looks like","less videos, maybe voice overs, explanations, skip options"
"2023/10/05 10:48:43 a.m. CET","7","It felt a little generic, but not wrong. ","Yes","Text","","","","3","What the options mean","however imaginative i am, my current state of mood does not allow me to properly imagine this.","make the videos skippable and add a VO to the videos"
"2023/10/05 10:52:30 a.m. CET","8","it was nice and connections were clear enough","No","","the tone was very positive and sacharine and that wasn't disclaimed much","Yes","some preface with neutral tone that prepares for the sugar","6","","there are so many versions of perfect and mine doesn't necessarily align with all",""
"2023/10/09 9:32:15 a.m. CET","8","I could recognize things about myself in the description at the end. except for the part where it says I express mainly masculine characteristics. ","Yes","Text","","","","3","What the options mean;What I do in my daily life","i didnt really understand the relevance of thinking about an ideal world beforehand",""
"2023/10/09 9:35:27 a.m. CET","8","The personality type seems to fit me. I do not see anything specificaly wrong with it","Yes","Text","","","","4","What I did in my past","My ideal world more closely resembles my ideal self","On repeat segments the videos are somewhat frustrating as I have to wait for them and they do not provide (new) meaningful context."
"2023/10/09 1:31:59 p.m. CET","9","The results describe me as a person and things I find very important pretty well.","Yes","I played the KernKrachten online prototype, not The Energy Game.","","","","2","What the options mean","No, I am pretty used to it since I have already played a lot of TweeKracht's games","Ik hoop dat je iets hieraan hebt haha groetjes Marijn"
"2023/10/11 2:22:52 p.m. CET","1","Michael: The app gave me white noise after filling in half of the game. When filling in the soft or hard side, whenever either of the halfs are completed and the video stopped playing, the app turns to white noise. I could still interact with the app, but I couldn't see the results at all.","Yes","Text","","","","4","What I do in my daily life","I don't know what this applies to.","The question ""How often did you have to really think about your answers?"" should be a 1-5 scale, not a 1-10."
"2023/10/11 2:43:23 p.m. CET","6","Ik ben het al weer vergeten","No","","Wat het is","No","Niet de cringe videos maar gewoon stukjes tekst","4","","No, its never gonna happen","Kaas"
"2023/10/11 2:56:40 p.m. CET","6","de keuzes waren best beperkt dus ik denk niet dat het mogelijk is om echt een accuraat beeld te krijgen, maar met de beperktheid op de achtergrond was het best accuraat","No","","ik werd heel erg in de war gebracht door al die filmpjes en het spreken over een ideale wereld","No","minder langdradige filmpjes en poespas, meer laten weten over wat je daadwerkelijk gaat doen","10","What the options mean;ik snapte niet wat de context van de opties was, buiten dat het in een ideale wereld was werd er geen situatie o.i.d. geschetst","n.v.t.","alleen een vraag: waarom is de foto op de home page een banaan?"
"2023/10/11 2:59:05 p.m. CET","8","Bc I'm really enjoying helping people","Yes","Text","","","","7","What the options mean","No","Make the videos shorter, especially at the start. Maybe add also a button that if you want, you can click on it and read further about that thing or watch a video about it"
"2023/10/11 3:05:44 p.m. CET","5","Ömer","No","","First of all, I don't know what the game means by ""energy"". At times, both of the presented options felt correct. The results for ""soft side"" or ""hard side"" can be confusing as well, for example one result I got for ""soft side"" was ""It just makes sense"".","No","The first video section gives vague information about the gist of the game, as well as taking too much time. They could be replaced with fewer videos and more text. The questions asked during the game can be replaced with more specific words instead of only ""What gives you energy?"" which is confusing.","4","What the options mean;What I do in my daily life","Not really.","I think replacing the stock images in the menu backgrounds would improve the aesthetic of the game."
"2023/10/11 3:39:14 p.m. CET","7","I'm generally pretty honest, and I'm sure they said stuff that was supposed to be accurate, but the grammar got in the way a lot","No","","What part of the game had any game to it, and,, most of,, the text","No","Depends on what the message is supposed to be and what the user should get out of it","2","What the options mean","Nope, cuz I already fantasize about my ideal world a lot","Remove all of the video please"
